V005,V012,V021,V023,V025,V106,V190,V201,V212,V312,V511,V632,V701,V730,Respondent's Current Age,age_dif,age_dif_cat,Teenage Pregnancy (Age at 1st Birth),Contraceptive Use,contra_decision3,Total Number of Children,Wealth Index
-0.21849501,0.2663126,-0.09971222,0.09494296,-0.016608473,0.060858343,-0.033077147,-0.3796041,-0.05669335,-0.53604245,-4.9711633,-0.054304063,-0.5297076,-0.3055696,-0.29858652,-0.38647464,-0.017403984,0.14398819,0.22696994,-0.91470164,-0.2618185,0.022645282
-0.21420497,0.27980748,-0.17610139,-0.061913293,0.030506961,-0.10929466,-0.034799896,-0.036724612,-0.15709282,-0.79330075,0.65367156,-0.08829584,-0.30397522,0.05788055,-0.31099263,0.053142644,-0.25649664,0.24459802,0.35139918,-0.645443,-0.43453303,0.017621329
-0.47046602,0.38666803,-0.13678136,0.06918255,0.049976617,-0.061496977,-0.030431572,-0.032829057,0.50129884,-0.46671012,-4.792078,0.042968202,-0.42050323,-0.3401516,-0.31914306,-0.3977161,-0.048148114,-0.7332645,0.20801242,-0.9117961,-0.3286879,-0.04587565
-0.68285763,-0.05154382,-0.12523022,0.058172185,0.016995165,-0.045751162,0.029057812,-0.07733423,-0.5055986,-0.4608651,-4.921093,0.062516645,-0.4372809,-0.39712816,0.13146378,-0.40328544,-0.019382203,0.028181296,0.22185458,-0.88201684,-0.24152546,-0.043390747
-0.306934,0.30127865,-0.35212404,0.10799354,0.035340756,0.08457391,0.010552035,-0.03967601,0.53845173,-0.6802199,0.31358808,0.204398,-0.3724862,-0.11117691,-0.58297914,-0.24520329,0.13159783,-1.16598,0.35434625,-0.31761807,-0.48325554,0.020764682
0.012442034,-0.8204302,-0.35245672,0.16090143,-0.03417076,-0.1691817,0.06218053,0.04254706,-0.3465883,-0.8431552,-0.14784709,-0.1644422,-0.3287992,0.03570528,0.26750812,-0.014976858,-0.41163146,-1.0657339,0.28793332,-0.103181705,0.15253152,0.025252774
-0.21902755,-0.12522484,-0.032615285,0.06366859,-0.02769183,0.058564294,0.036642592,-0.07103679,0.5352356,-0.45453376,-5.18787,0.025389673,-0.50402826,-0.24697353,0.13578661,-0.35170177,0.05938133,0.22952785,0.23608528,-0.8380173,-0.20808588,0.027152898
0.039272126,-0.050668042,-0.99483263,0.09746692,0.08933682,-0.5573346,-0.29332727,0.06847808,0.84660953,0.02985307,0.14078587,-0.07214913,-0.72279924,-0.107753515,0.04515384,0.036672607,-0.44689685,-0.9957541,-0.9495766,-0.1351653,-0.47420287,-0.105462275
-0.07128126,-0.16195545,0.02433199,0.10615592,-0.23440276,-0.4787407,-0.522661,0.06732404,0.75390667,-0.76764786,-0.35159028,-0.15904374,-0.8031007,-0.06549079,0.124271326,0.0021279717,-0.41737252,-1.0345881,0.2741263,-0.1289118,-0.4011187,-0.11636579
-0.3089612,-0.18669596,-0.04824472,-0.063017294,-0.0401704,0.27570137,0.2632342,-0.05859593,-0.16110545,-0.9085982,0.030051453,-0.11578162,-0.66330624,-0.14678925,0.19217226,0.02779142,-0.5348176,0.18008716,0.30953217,-0.03862008,-0.29211858,0.0130481655
-0.09836333,0.32011324,-0.023302095,0.13752961,-0.18847825,0.06702627,0.01472109,0.1041453,0.031381357,-0.79517573,-0.056182873,-0.11300781,-0.31310955,0.015806088,-0.5652522,0.0033870959,-0.6002476,-1.0340111,0.2376755,-0.04714825,-0.31698865,0.008676557
0.031394105,-0.26983145,-0.21692665,0.12311594,-0.2266356,-0.4701477,-0.4342415,0.042133242,0.48948082,-0.7388305,0.03257036,-0.16690652,-0.6193399,-0.1627528,0.43465772,-0.029760983,-0.50689524,-1.1050147,0.24833775,-0.11138134,-0.419785,-0.07001414
-0.04389352,-0.0014889303,0.4029897,-0.17089856,-0.029332016,0.062233187,0.008583104,0.07638675,-0.45690283,0.34112537,-0.00817773,-0.28938577,-0.4790368,-0.14055486,0.20534347,-0.0049089487,-0.49201685,0.109366894,-1.0310248,-0.14236125,-0.36362934,0.012703072
-0.08699645,0.22296964,-0.15362576,-0.03040352,3.5113007e-05,0.05447571,-0.0583816,-0.031145249,0.46743655,-0.5043491,-4.9578724,0.032637328,-0.48674434,-0.21460886,-0.3655234,-0.387378,0.014267471,-0.68203205,0.20967676,-0.87827456,-0.38171387,0.017237492
-0.050651953,-1.1067898,-0.39930242,0.12341867,-0.03153788,-0.09082747,-0.11560179,0.04749263,-0.43755224,-0.7917823,0.3726872,-0.096550204,-0.34423402,-0.19733037,0.30605176,-0.007862508,-0.41445094,-1.097079,0.3681857,-0.6441397,0.0127223935,0.015725855
