V005,V012,V021,V023,V024,V025,V106,V190,V201,V212,V312,V511,V632,V701,V730,Respondent's Current Age,age_dif,age_dif_cat,Teenage Pregnancy (Age at 1st Birth),Contraceptive Use,contra_decision3
-0.050524864,-0.16164093,-0.14428698,0.019705223,-0.077714734,-0.036397893,-0.08474969,0.030274007,-0.23859315,-0.17488715,-0.6389534,-4.615667,-0.029739425,-0.53729826,-0.3068195,0.098337404,-0.40123883,-0.13828762,0.11152541,0.17392871,-0.8356563
-0.04903405,-0.32311308,-0.25279066,-0.013393948,0.034151223,-0.046554297,-0.0651613,-0.0036156543,-0.016353501,0.33598244,-0.61345327,-4.5290875,-0.05426739,-0.6164292,-0.2971777,0.058763146,-0.37054032,-0.10846527,-0.6115294,0.17107892,-0.7976832
-0.19753289,-0.055110976,-0.11559089,0.019259961,0.026003387,-0.045752246,-0.22160496,-0.29070613,0.024851264,0.42584485,0.21528693,0.37113607,-0.5552461,-0.48209643,-0.15294541,0.093347,-0.10108326,-0.14584254,-0.9707702,-0.94711536,0.18862222
0.0510661,-0.12273462,0.55060136,-0.15075152,-0.15381001,-0.03967455,0.14101131,-0.5645394,-0.14266874,-0.57397306,0.29606646,-0.17396821,-0.0062529556,-0.5787573,-0.15937698,0.04958097,-0.02100938,-0.6722348,0.07488405,-0.95347667,-0.08226025
-0.15757962,0.44902724,-0.14979571,-0.0010511106,0.035681456,-0.1064498,0.054841194,0.03782023,-0.09816782,-0.4471985,-0.7470358,-0.57664037,0.06304125,-0.28623715,0.31452972,-0.62554556,-0.009607964,-0.41495922,0.14152205,0.23825239,-1.1039236
0.097342186,0.44712755,0.16791774,-0.040149905,-0.2362274,0.23665765,0.10775485,-0.3491594,-0.08408749,-0.4892656,-0.89194316,-0.036579747,-0.025608746,-0.21766834,0.19172569,-0.5857679,0.016815115,-0.1808059,0.063902974,0.21027112,-0.34167662
-0.08698085,-1.1937594,-0.15796143,0.005981176,-0.06021322,-0.09483884,-0.06876757,0.009914844,0.30783954,0.2221448,-0.57336134,-4.434926,0.0027171504,-0.53571594,-0.3526113,0.3985501,-0.7909633,-0.10041033,-0.6040271,0.1771884,-0.76835746
0.07052112,-0.67535543,-0.3625127,0.042018022,0.14129218,-0.034371752,0.13875228,0.060968608,0.09758154,-0.44108132,0.24624698,0.07537141,-0.026971875,-0.6110206,-0.28790784,0.45158264,0.035039008,-0.31153715,0.14533184,-1.0435113,-0.12873885
0.00035725805,-0.6792126,-0.45257986,0.033077557,0.13188009,-0.04831097,-0.14531304,0.022736423,0.1263152,-0.4268751,0.2910937,-0.002068954,-0.016593305,-0.65573764,-0.22542615,0.4116764,-0.04887023,-0.44563237,0.16018774,-1.028433,-0.16881162
-0.10640067,-0.12831402,-0.13906173,0.020135634,-0.06115532,-0.105121486,-0.41230896,-0.40879562,0.08982335,0.50349087,0.22345918,0.17684849,-0.034538247,-0.75736624,0.08605678,0.085455135,-0.030534571,-0.42264783,-1.2362586,-0.83834875,-0.22895965
-0.29749238,0.035853516,-0.27137363,-0.0053614974,-0.0070075807,-0.03748505,-0.069123924,0.019345598,-0.03482655,0.31311414,-0.62742656,-4.535288,-0.052222066,-0.58042526,-0.39049897,0.09888703,-0.40147936,-0.13175306,-0.6482163,0.18601228,-0.7424523
-0.06518383,-0.4106699,-0.18264005,-0.0021038833,-0.18160754,0.070198484,-0.16042112,-0.14750274,-0.0494203,-0.5469777,-1.0639044,-0.12289842,-0.02634889,-0.34080732,0.21665959,0.024119949,-0.084330745,-0.7248833,0.19794822,0.18251687,-0.14770995
-0.05933846,0.344032,0.32262993,-0.034173753,-0.13426867,-0.050781127,-0.07889189,0.035662632,-0.028283097,-0.42932972,0.19554976,-0.16003755,-0.56766075,-0.50149554,-0.09848037,-0.5654853,-0.11154446,-0.29866648,0.12652947,-0.9387532,0.13810635
-0.33373764,0.45036682,0.11570179,-0.104962245,-0.29687026,0.12990604,-0.17809705,-0.4200032,-0.009729993,-0.59964913,0.16651958,-0.29738116,-0.038195286,-0.6863015,0.19512632,-0.55804825,-0.0013525153,-0.5096389,0.17201018,-0.89481705,-0.19758765
